flight_id;from_airport;to_airport;departure_date_time;arrival_date_time;marketing_airline_name;flight_number;price;link
BRUIBZ20230806HV9009;BRU;IBZ;2023-08-06T15:30:00;2023-08-06T17:55:00;HV;9009;129.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=6&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230807HV9009;BRU;IBZ;2023-08-07T15:35:00;2023-08-07T18:00:00;HV;9009;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=7&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230809HV9009;BRU;IBZ;2023-08-09T06:30:00;2023-08-09T08:55:00;HV;9009;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=9&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230811HV9023;BRU;IBZ;2023-08-11T16:50:00;2023-08-11T19:15:00;HV;9023;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=11&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230813HV9009;BRU;IBZ;2023-08-13T15:30:00;2023-08-13T17:55:00;HV;9009;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=13&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230814HV9009;BRU;IBZ;2023-08-14T15:35:00;2023-08-14T18:00:00;HV;9009;88.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=14&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230816HV9009;BRU;IBZ;2023-08-16T06:30:00;2023-08-16T08:55:00;HV;9009;66.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=16&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230818HV9023;BRU;IBZ;2023-08-18T16:50:00;2023-08-18T19:15:00;HV;9023;44.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=18&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230820HV9009;BRU;IBZ;2023-08-20T15:30:00;2023-08-20T17:55:00;HV;9009;76.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=20&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230821HV9009;BRU;IBZ;2023-08-21T15:35:00;2023-08-21T18:00:00;HV;9009;57.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=21&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230823HV9009;BRU;IBZ;2023-08-23T06:30:00;2023-08-23T08:55:00;HV;9009;76.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=23&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230825HV9023;BRU;IBZ;2023-08-25T16:50:00;2023-08-25T19:15:00;HV;9023;66.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=25&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230827HV9009;BRU;IBZ;2023-08-27T15:30:00;2023-08-27T17:55:00;HV;9009;44.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=27&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230828HV9009;BRU;IBZ;2023-08-28T06:30:00;2023-08-28T08:55:00;HV;9009;66.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=28&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230830HV9009;BRU;IBZ;2023-08-30T06:30:00;2023-08-30T08:55:00;HV;9009;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=30&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230901HV9009;BRU;IBZ;2023-09-01T16:50:00;2023-09-01T19:15:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=1&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230902HV9013;BRU;IBZ;2023-09-02T17:40:00;2023-09-02T20:05:00;HV;9013;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=2&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230904HV9009;BRU;IBZ;2023-09-04T06:30:00;2023-09-04T08:55:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=4&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230906HV9009;BRU;IBZ;2023-09-06T06:30:00;2023-09-06T08:55:00;HV;9009;163.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=6&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230908HV9009;BRU;IBZ;2023-09-08T16:50:00;2023-09-08T19:15:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=8&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230909HV9013;BRU;IBZ;2023-09-09T17:40:00;2023-09-09T20:05:00;HV;9013;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=9&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230911HV9009;BRU;IBZ;2023-09-11T06:30:00;2023-09-11T08:55:00;HV;9009;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=11&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230913HV9009;BRU;IBZ;2023-09-13T06:30:00;2023-09-13T08:55:00;HV;9009;163.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=13&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230915HV9009;BRU;IBZ;2023-09-15T16:50:00;2023-09-15T19:15:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=15&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230916HV9013;BRU;IBZ;2023-09-16T17:40:00;2023-09-16T20:05:00;HV;9013;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=16&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230918HV9009;BRU;IBZ;2023-09-18T06:30:00;2023-09-18T08:55:00;HV;9009;163.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=18&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230920HV9009;BRU;IBZ;2023-09-20T06:30:00;2023-09-20T08:55:00;HV;9009;202.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=20&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230922HV9009;BRU;IBZ;2023-09-22T16:50:00;2023-09-22T19:15:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=22&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230923HV9013;BRU;IBZ;2023-09-23T17:40:00;2023-09-23T20:05:00;HV;9013;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=23&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230925HV9009;BRU;IBZ;2023-09-25T06:30:00;2023-09-25T08:55:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=25&om=9&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230927HV9009;BRU;IBZ;2023-09-27T06:30:00;2023-09-27T08:55:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=27&om=9&oy=2023&utm_source=API&utm_medium=Public
