originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Mallorca,2023-06-21T00:00:00.000,84.62,02:10,-1,FR~7831~ ~~CRL~06/21/2023 06:55~PMI~06/21/2023 09:05~~,FR 7831,2023-06-21T06:55:00.000,2023-06-21T09:05:00.000
Brussels,Mallorca,2023-06-23T00:00:00.000,128.87,02:15,-1,FR~2915~ ~~BRU~06/23/2023 11:00~PMI~06/23/2023 13:15~~,FR 2915,2023-06-23T11:00:00.000,2023-06-23T13:15:00.000
Brussels,Mallorca,2023-06-26T00:00:00.000,42.09,02:15,5,FR~2915~ ~~BRU~06/26/2023 20:25~PMI~06/26/2023 22:40~~,FR 2915,2023-06-26T20:25:00.000,2023-06-26T22:40:00.000
Brussels (Charleroi),Mallorca,2023-06-27T00:00:00.000,76.7,02:10,3,FR~7831~ ~~CRL~06/27/2023 06:35~PMI~06/27/2023 08:45~~,FR 7831,2023-06-27T06:35:00.000,2023-06-27T08:45:00.000
Brussels,Mallorca,2023-06-28T00:00:00.000,76.7,02:15,4,FR~2915~ ~~BRU~06/28/2023 17:25~PMI~06/28/2023 19:40~~,FR 2915,2023-06-28T17:25:00.000,2023-06-28T19:40:00.000
Brussels (Charleroi),Mallorca,2023-06-29T00:00:00.000,99.8,02:10,2,FR~7831~ ~~CRL~06/29/2023 16:50~PMI~06/29/2023 19:00~~,FR 7831,2023-06-29T16:50:00.000,2023-06-29T19:00:00.000
Brussels (Charleroi),Mallorca,2023-07-01T00:00:00.000,115.79,02:10,5,FR~7831~ ~~CRL~07/01/2023 17:20~PMI~07/01/2023 19:30~~,FR 7831,2023-07-01T17:20:00.000,2023-07-01T19:30:00.000
Brussels,Mallorca,2023-07-03T00:00:00.000,117.84,02:15,4,FR~2915~ ~~BRU~07/03/2023 20:25~PMI~07/03/2023 22:40~~,FR 2915,2023-07-03T20:25:00.000,2023-07-03T22:40:00.000
Brussels,Mallorca,2023-07-05T00:00:00.000,133.59,02:15,-1,FR~2915~ ~~BRU~07/05/2023 17:25~PMI~07/05/2023 19:40~~,FR 2915,2023-07-05T17:25:00.000,2023-07-05T19:40:00.000
Brussels (Charleroi),Mallorca,2023-07-05T00:00:00.000,86.99,02:10,-1,FR~7831~ ~~CRL~07/05/2023 06:55~PMI~07/05/2023 09:05~~,FR 7831,2023-07-05T06:55:00.000,2023-07-05T09:05:00.000
Brussels (Charleroi),Mallorca,2023-07-06T00:00:00.000,154.09,02:10,5,FR~7831~ ~~CRL~07/06/2023 16:50~PMI~07/06/2023 19:00~~,FR 7831,2023-07-06T16:50:00.000,2023-07-06T19:00:00.000
Brussels,Mallorca,2023-07-07T00:00:00.000,234.79,02:15,-1,FR~2915~ ~~BRU~07/07/2023 11:00~PMI~07/07/2023 13:15~~,FR 2915,2023-07-07T11:00:00.000,2023-07-07T13:15:00.000
Brussels (Charleroi),Mallorca,2023-07-08T00:00:00.000,145.87,02:10,-1,FR~7831~ ~~CRL~07/08/2023 17:20~PMI~07/08/2023 19:30~~,FR 7831,2023-07-08T17:20:00.000,2023-07-08T19:30:00.000
Brussels (Charleroi),Mallorca,2023-07-10T00:00:00.000,181.49,02:10,-1,FR~7831~ ~~CRL~07/10/2023 08:55~PMI~07/10/2023 11:05~~,FR 7831,2023-07-10T08:55:00.000,2023-07-10T11:05:00.000
Brussels (Charleroi),Mallorca,2023-07-12T00:00:00.000,132.54,02:10,4,FR~7831~ ~~CRL~07/12/2023 06:55~PMI~07/12/2023 09:05~~,FR 7831,2023-07-12T06:55:00.000,2023-07-12T09:05:00.000
Brussels (Charleroi),Mallorca,2023-07-13T00:00:00.000,134.12,02:10,2,FR~7831~ ~~CRL~07/13/2023 16:50~PMI~07/13/2023 19:00~~,FR 7831,2023-07-13T16:50:00.000,2023-07-13T19:00:00.000
Brussels (Charleroi),Mallorca,2023-07-14T00:00:00.000,132.54,02:00,2,FR~7831~ ~~CRL~07/14/2023 19:00~PMI~07/14/2023 21:00~~,FR 7831,2023-07-14T19:00:00.000,2023-07-14T21:00:00.000
